Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
PRE TREINO ,,Está Refeição deve ser Feita com 1 hora antes do treino,,,,,,,
Carboidratos (g),80.0,,,,,Pré Treino,,,
,,,,,,Alimento,Unidade,Qantidade,Carboidratos
PÓS TREINO,,,,,,Pão francês,Unidade,3,87
Carboidratos (g),64.0,,,,,Banana,Unidade (75g),1,16.5
Proteína (g),16.0,,,,,Mel,Colher de Sopa (15g),1,12
,,,,,,,,,0
,,,,,,,,,0
,,,,,,ADEQUAÇÃO,,Ultrapassou a Necessidade,
DICA DE OURO,,,,,,,,,
A cada 3-4 horas voce deve consumir 24g de proteína,,,,,,,,,
,,,,,,Pós Treino,,,
COMO ESCOLHER UM BOM WHEY,,,,,,Alimento,Unidade,Qantidade,Carboidratos
"Em um porção de 30g deve conter no minimo 22g de proteínas e 2,2g de leucina. Além disso o carboidratos não pode passar de 6,5g.  ",,,,,,Macarrão cozido,Porção de 100g,1,25
,,,,,,Maçã,Unidade,2,40
,,,,,,Pão francês,Unidade,0,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,, Whey Protein,1,,21.81818182
,,,,,,ADEQUAÇÃO,,OK,
