Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,TESTE ,,,,,,,,,,,,,,Segunda,Terça,Quarta,Quinta,Sexta,Sábado ,Domingo 
,,,,,,,,,,,,,,,,Empurrada,Vo2 max ,Membros Inferiores,Descanso,Puxada,Aula ,Descanso 
,,,,,,,,,,,,,,,,,,,,,,
,,Treino ,N,Exercício ,Série 1,,,Série 2,,,Série 3,,,1 RM,,,,,,,,
,,,,,Carga ,Repetições ,Descanso ,Carga ,Repetições ,Descanso ,Carga ,Repetições ,Descanso ,,,,,,,,,
,,"Membros Superiores 
Empurrada ",1,Supino Reto ( Bench Press ) ,70,5,3 minutos ,80,3,3 minutos ,80,4,3 minutos ,90.656,,,,,,,,
,,,2,Supino Inclinado com Barra,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,,,,,,,,
,,,3,Dumbbell Shoulder Press ,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,,,,,,,,
,,,4,Remada Alta com Barra,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,,,,,,,,
,,,5,Tríceps Pulley,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,,,,,,,,
,,"Membros Superiores 
Puxada ",1,Remada Inclinada ( Barbell Row ),,,3 minutos ,,,3 minutos ,,,3 minutos ,0,,,,,,,,
,,,2,Puxada Frontal ( Supinação ),,,3 minutos ,,,3 minutos ,,,3 minutos ,0,,,,,,,,
,,,3,Remada Inclinada com Halter,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,,,,,,,,
,,,4,Voador Inverso no banco inclinado com Halter,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,,,,,,,,
,,,5,Rosca Martelo com Halter,,,3 minutos,,,3 minutos ,,,3 minutos ,0,,,,,,,,
,,"Membros
Inferiores ",1,Agachamento com Barra nas Costas (Back Squat),,,3 minutos ,,,3 minutos ,,,3 minutos ,0,,,,,,,,
,,,2,Levantamento Terra ( Deadlift),,,3 minutos ,,,3 minutos ,,,3 minutos ,0,,,,,,,,
,,,3,Afundo com Halteres,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,,,,,,,,
,,,4,Stiff com Halter,,,3 minutos ,,,3 minutos ,,,3 minutos ,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Distance 12 min ,2600,,,"
Objetivos dos Teste de Força 

-na ultima tentativa chegar na maior carga entre 3 a 5 repetições. 

Objetivo do teste Vo2 Max 

Maior distancia em metros em 12 minutos com a esteira a 1% de inclinação.",,,,,,,,,,,,,,,,
,,Vo2max (ml/kg/min),46.67928731,,,,,,,,,,,,,,,,,,,
,,Vvo2 max (km/h),13,,,,,,,,,,,,,,,,,,,
