Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Alimento,Carboidratos (g),Proteína (g),,,,Alimento,UNidade de Medida,Quantidade de Carboidrato
Arroz branco cozido,28,2.5,,,,Arroz branco cozido,Colher de Sopa (20g),5
Arroz integral cozido,25,2.6,,,,Arroz integral cozido,Colher de Sopa (20g),5
Macarrão cozido,25,4,,,,Macarrão cozido,Porção de 100g,25
Pão francês,55,8,,,,Pão francês,Unidade,29
Mel,80,9,,,,Mel,Colher de Sopa (15g),12
Aveia em flocos,66,17,,,,Aveia em flocos,Colher de Sopa (15g),10
Tapioca (goma),86,0.2,,,,Tapioca (goma),Colher de Sopa (15g),12
Batata cozida,20,2,,,,Batata cozida,Porção de 100g,20
Batata-doce cozida,18,1.3,,,,Batata-doce cozida,Porção de 100g,18
Inhame cozido,27,1.5,,,,Inhame cozido,Porção de 100g,27
Mandioca cozida,30,1,,,,Mandioca cozida,Porção de 100g,30
Maçã,14,0.3,,,,Maçã,Unidade,20
Manga,17,0.8,,,,Manga,Unidade,17
Uva,18,0.7,,,,Uva,Unidade,2
Mamão,10,0.5,,,,Mamão,Fatia (200g),17
Banana,22,0,,,,Banana,Unidade (75g),16.5
,,,,,,Geleia De Fruta,Ponta de Faca (5g),
