Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Segunda,Terça,Quarta,Quinta,Sexta,Sábado,Domingo,Unnamed: 23,Unnamed: 24,Unnamed: 25
,,,,,,,,,,,,,,,,Empurrada,Aeróbico,Membros Inferiroes ,Descanso ,Puxada ,Aeróbico ,Descanso ,,,
,,,Aproveitamento do Treinamento ,,,,,,,,,5,0,,1,False,False,False,,False,False,,,,
,,,,,,,,,,,,,,,,2026-01-19 00:00:00,2026-01-20 00:00:00,2026-01-21 00:00:00,2026-01-22 00:00:00,2026-01-23 00:00:00,2026-01-24 00:00:00,2026-01-25 00:00:00,,,
,,,Semana,1,2.0,3,4,,,,,5,0,,2,False,False,False,,False,False,,,,
,,,Upper Body Push ,0.1466666667,0.0,0,0,,,,,,,,,2026-01-26 00:00:00,2026-01-27 00:00:00,2026-01-28 00:00:00,2026-01-29 00:00:00,2026-01-30 00:00:00,2026-01-31 00:00:00,2026-02-01 00:00:00,,,
,,,Upper Body Pull ,0,0.0,0,0,,,,,5,0,,3,False,False,False,,False,False,,,,
,,,Lower Body ,0,0.0,0,0,,,,,,,,,2026-02-02 00:00:00,2026-02-03 00:00:00,2026-02-04 00:00:00,2026-02-05 00:00:00,2026-02-06 00:00:00,2026-02-07 00:00:00,2026-02-08 00:00:00,,,
,,,,,,,,,,,,5,0,,4,False,False,False,,False,False,,,,
,,,Microciclo ,0.04888888889,0.0,0,0,,,,,,,,,2026-02-09 00:00:00,2026-02-10 00:00:00,2026-02-11 00:00:00,2026-02-12 00:00:00,2026-02-13 00:00:00,2026-02-14 00:00:00,2026-02-15 00:00:00,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Semana ,Treino,,Exercício ,Intensidade,Carga (Kg),Reps ,Descanso,Set 1,Set 2,Set 3,Exercício ,Semana ,,,,,,,,,,
,,,1,Mebros Superiores Empurrada ,1.0,Supino Reto ( Bench Press ) ,0.6,54.3936,20,0:01:30,20,13,11,0.7333333333,0.05238095238,,Semana,Treino,Séries ,Duração (min),Intensidade ,Km/h,Distancia ,PSE ,Média da FC (bpm)
,,,,,,Supino Inclinado com Barra,0.6,0,20,0:01:30,,,,0,,,1,1,1,20,0.6,7.8,,-,
,,,,,,Dumbbell Shoulder Press ,0.6,0,20,0:01:30,,,,0,,,,,,,0.7,9.1,,,
,,,,,,Remada Alta com Barra,0.6,0,20,0:01:30,,,,0,,,,2,1,20,0.6,7.8,,-,
,,,,,,Tríceps Pulley,0.6,0,20,0:01:30,,,,0,,,,,,,0.7,9.1,,,
,,,,Membros Superiores Puxada ,2.0,Remada Inclinada ( Barbell Row ),0.6,0,20,0:01:30,,,,0,,,2,3,1,20,0.6,7.8,,-,
,,,,,,Puxada Frontal ( Supinação ),0.6,0,20,0:01:30,,,,0,,,,,,,0.7,9.1,,,
,,,,,,Remada Inclinada com Halter,0.6,0,20,0:01:30,,,,0,,,,4,1,20,0.6,7.8,,-,
,,,,,,Voador Inverso no banco inclinado com Halter,0.6,0,20,0:01:30,,,,0,,,,,,,0.7,9.1,,,
,,,,,,Rosca Martelo com Halter,0.6,0,20,0:01:30,,,,0,,,3,5,1,20,0.6,7.8,,-,
,,,,Membros Inferiores ,3.0,Agachamento com Barra nas Costas (Back Squat),0.6,0,20,0:01:30,,,,0,,,,,,,0.7,9.1,,,
,,,,,,Levantamento Terra ( Deadlift),0.6,0,20,0:01:30,,,,0,,,,6,1,20,0.6,7.8,,-,
,,,,,,Afundo com Halteres,0.6,0,20,0:01:30,,,,0,,,,,,,0.7,9.1,,,
,,,,,,Stiff com Halter,0.6,0,20,0:01:30,,,,0,,,4,7,1,20,0.6,7.8,,-,
,,,,,,,,,,,,,,,,,,,,,0.7,9.1,,,
,,,2,Mebros Superiores Empurrada ,4.0,Supino Reto ( Bench Press ) ,0.6,54.3936,20,0:01:30,,,,0,0,,,8,1,20,0.6,7.8,,,
,,,,,,Supino Inclinado com Barra,0.6,0,20,0:01:30,,,,0,,,,,,,0.7,9.1,,,
,,,,,,Dumbbell Shoulder Press ,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Remada Alta com Barra,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Tríceps Pulley,0.6,0,20,0:01:30,,,,0,,,1,Campeão,,,,,,,
,,,,Membros Superiores Puxada ,5.0,Remada Inclinada ( Barbell Row ),0.6,0,20,0:01:30,,,,0,,,0.99,Competitivo ,,,,,,,
,,,,,,Puxada Frontal ( Supinação ),0.6,0,20,0:01:30,,,,0,,,0.9,,,,,,,,
,,,,,,Remada Inclinada com Halter,0.6,0,20,0:01:30,,,,0,,,0.89,Pré-Competitivo,,,,,,,
,,,,,,Voador Inverso no banco inclinado com Halter,0.6,0,20,0:01:30,,,,0,,,0.8,,,,,,,,
,,,,,,Rosca Martelo com Halter,0.6,0,20,0:01:30,,,,0,,,0.79,Em Evolução,,,,,,,
,,,,Membros Inferiores ,6.0,Agachamento com Barra nas Costas (Back Squat),0.6,0,20,0:01:30,,,,0,,,0.7,,,,,,,,
,,,,,,Levantamento Terra ( Deadlift),0.6,0,20,0:01:30,,,,0,,,0.69,Fraco,,,,,,,
,,,,,,Afundo com Halteres,0.6,0,20,0:01:30,,,,0,,,0.6,,,,,,,,
,,,,,,Stiff com Halter,0.6,0,20,0:01:30,,,,0,,,0.59,Muito Fraco,,,,,,,
,,,,,,,,,,,,,,,,,0.5,,,,,,,,
,,,3,Mebros Superiores Empurrada ,7.0,Supino Reto ( Bench Press ) ,0.6,54.3936,20,0:01:30,,,,0,0,,0.49,Sobrevivente,,,,,,,
,,,,,,Supino Inclinado com Barra,0.6,0,20,0:01:30,,,,0,,,False,,,,,,,,
,,,,,,Dumbbell Shoulder Press ,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Remada Alta com Barra,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Tríceps Pulley,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,Membros Superiores Puxada ,8.0,Remada Inclinada ( Barbell Row ),0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Puxada Frontal ( Supinação ),0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Remada Inclinada com Halter,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Voador Inverso no banco inclinado com Halter,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Rosca Martelo com Halter,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,Membros Inferiores ,9.0,Agachamento com Barra nas Costas (Back Squat),0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Levantamento Terra ( Deadlift),0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Afundo com Halteres,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Stiff com Halter,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4,Mebros Superiores Empurrada ,10.0,Supino Reto ( Bench Press ) ,0.6,54.3936,20,0:01:30,,,,0,0,,,,,,,,,,
,,,,,,Supino Inclinado com Barra,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Dumbbell Shoulder Press ,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Remada Alta com Barra,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Tríceps Pulley,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,Membros Superiores Puxada ,11.0,Remada Inclinada ( Barbell Row ),0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Puxada Frontal ( Supinação ),0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Remada Inclinada com Halter,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Voador Inverso no banco inclinado com Halter,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Rosca Martelo com Halter,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,Membros Inferiores ,12.0,Agachamento com Barra nas Costas (Back Squat),0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Levantamento Terra ( Deadlift),0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Afundo com Halteres,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
,,,,,,Stiff com Halter,0.6,0,20,0:01:30,,,,0,,,,,,,,,,,
